iter	Passed	Remaining
630	102122	1030775
631	102192	1029691
632	102266	1028639
633	102342	1027618
634	102401	1026430
635	102463	1025282
636	102532	1024195
637	102599	1023099
638	102668	1022026
639	102729	1020878
640	102805	1019870
641	102876	1018828
642	102941	1017728
643	103008	1016644
644	103084	1015661
645	103146	1014543
646	103204	1013379
647	103283	1012436
648	103338	1011257
649	103397	1010115
650	103469	1009102
651	103523	1007923
652	103586	1006839
653	103647	1005728
654	103715	1004690
655	103789	1003716
656	103855	1002676
657	103921	1001623
658	104067	1001356
659	104285	1001775
660	104519	1002343
661	104720	1002599
662	104925	1002884
663	105138	1003245
664	105337	1003475
665	105530	1003649
666	105723	1003813
667	105921	1004036
668	106117	1004227
669	106302	1004324
670	106493	1004468
671	106721	1004957
672	106920	1005175
673	107129	1005487
674	107359	1005999
675	107553	1006165
676	107747	1006329
677	107943	1006513
678	108138	1006690
679	108349	1007015
680	108550	1007242
681	108769	1007637
682	108968	1007843
683	109195	1008300
684	109388	1008446
685	109553	1008340
686	109753	1008550
687	109944	1008678
688	110133	1008786
689	110349	1009140
690	110549	1009343
691	110748	1009543
692	110989	1010115
693	111185	1010279
694	111397	1010595
695	111595	1010769
696	111806	1011066
697	112002	1011234
698	112204	1011444
699	112412	1011713
700	112649	1012237
701	112851	1012445
702	113071	1012814
